town,investor_rank,value_rank,momentum_rank,overall_rank
JURONG WEST,2.0,3.0,8.0,4.333333333333333
JURONG EAST,8.0,1.0,5.0,4.666666666666667
YISHUN,1.0,8.0,12.0,7.0
ANG MO KIO,4.0,2.0,16.0,7.333333333333333
WOODLANDS,3.0,17.0,14.0,11.333333333333334
GEYLANG,14.0,18.0,2.0,11.333333333333334
BEDOK,12.0,6.0,19.0,12.333333333333334
SEMBAWANG,9.0,24.0,7.0,13.333333333333334
CENTRAL AREA,23.0,12.0,9.0,14.666666666666666
MARINE PARADE,20.0,16.0,11.0,15.666666666666666
CLEMENTI,15.0,14.0,18.0,15.666666666666666
CHOA CHU KANG,11.0,26.0,15.0,17.333333333333332
HOUGANG,10.0,44.0,13.0,22.333333333333332
SENGKANG,5.0,49.0,20.0,24.666666666666668
SERANGOON,16.0,60.0,1.0,25.666666666666668
TAMPINES,7.0,64.0,17.0,29.333333333333332
PUNGGOL,6.0,66.0,22.0,31.333333333333332
TOA PAYOH,18.0,72.0,23.0,37.666666666666664
PASIR RIS,17.0,91.0,10.0,39.333333333333336
KALLANG/WHAMPOA,13.0,109.0,4.0,42.0
BISHAN,22.0,140.0,3.0,55.0
BUKIT MERAH,19.0,125.0,21.0,55.0
QUEENSTOWN,21.0,127.0,24.0,57.333333333333336
BUKIT TIMAH,24.0,156.0,6.0,62.0
Condo - ALEXANDRA VIEW,,151.0,,
Condo - AMBER GARDENS,,183.0,,
Condo - AMBER ROAD,,174.0,,
Condo - ANAMALAI AVENUE,,197.0,,
Condo - ANG MO KIO AVENUE 2,,134.0,,
Condo - ANG MO KIO RISE,,170.0,,
Condo - ARTHUR ROAD,,182.0,,
Condo - BALMORAL ROAD,,201.0,,
Condo - BAYSHORE ROAD,,46.0,,
Condo - BEACH ROAD,,164.0,,
Condo - BEDOK CENTRAL,,172.0,,
Condo - BEDOK RESERVOIR ROAD,,70.0,,
Condo - BEDOK RISE,,111.0,,
Condo - BEDOK SOUTH AVENUE 3,,105.0,,
Condo - BERNAM STREET,,186.0,,
Condo - BIDADARI PARK DRIVE,,175.0,,
Condo - BISHAN STREET 15,,142.0,,
Condo - BROOKVALE DRIVE,,153.0,,
Condo - BUKIT TIMAH ROAD,,193.0,,
Condo - CANBERRA DRIVE,,106.0,,
Condo - CHESTNUT AVENUE,,84.0,,
Condo - CHIN SWEE ROAD,,180.0,,
Condo - CLARKE QUAY,,202.0,,
Condo - CLEMENTI AVENUE 1,,131.0,,
Condo - COMMONWEALTH AVENUE,,157.0,,
Condo - COMPASSVALE BOW,,136.0,,
Condo - DAIRY FARM LANE,,128.0,,
Condo - DAKOTA CRESCENT,,133.0,,
Condo - DE SOUZA AVENUE,,143.0,,
Condo - DEPOT ROAD,,94.0,,
Condo - DOVER RISE,,73.0,,
Condo - DUNEARN ROAD,,199.0,,
Condo - EAST COAST ROAD,,129.0,,
Condo - ELIAS ROAD,,28.0,,
Condo - EWE BOON ROAD,,200.0,,
Condo - FERNVALE CLOSE,,68.0,,
Condo - FERNVALE ROAD,,87.0,,
Condo - FLORA DRIVE,,39.0,,
Condo - FLORA ROAD,,19.0,,
Condo - FOURTH AVENUE,,185.0,,
Condo - GUILLEMARD ROAD,,149.0,,
Condo - HANDY ROAD,,194.0,,
Condo - HARBOURFRONT AVENUE,,179.0,,
Condo - HILLVIEW AVENUE,,76.0,,
Condo - HILLVIEW RISE,,126.0,,
Condo - HOLLAND ROAD,,191.0,,
Condo - HOLLAND VILLAGE WAY,,198.0,,
Condo - HOUGANG AVENUE 2,,137.0,,
Condo - HOUGANG AVENUE 7,,99.0,,
Condo - HOUGANG STREET 11,,50.0,,
Condo - HOW SUN DRIVE,,177.0,,
Condo - HUME AVENUE,,92.0,,
Condo - IRWELL HILL,,195.0,,
Condo - JALAN EUNOS,,158.0,,
Condo - JALAN KEMAMAN,,173.0,,
Condo - JALAN LEMPENG,,135.0,,
Condo - JALAN LOYANG BESAR,,27.0,,
Condo - JERVOIS CLOSE,,184.0,,
Condo - JURONG LAKE LINK,,118.0,,
Condo - KEPPEL BAY DRIVE,,141.0,,
Condo - KEPPEL BAY VIEW,,130.0,,
Condo - KOVAN ROAD,,88.0,,
Condo - LAKESIDE DRIVE,,80.0,,
Condo - LEEDON HEIGHTS,,192.0,,
Condo - LENTOR CENTRAL,,169.0,,
Condo - LORONG HOW SUN,,103.0,,
Condo - MAKEWAY AVENUE,,187.0,,
Condo - MARINA BOULEVARD,,161.0,,
Condo - MARINA WAY,,181.0,,
Condo - MARINE PARADE ROAD,,107.0,,
Condo - MATTAR ROAD,,148.0,,
Condo - MEYAPPA CHETTIAR ROAD,,144.0,,
Condo - MEYER ROAD,,188.0,,
Condo - MILTONIA CLOSE,,34.0,,
Condo - MOUNT VERNON ROAD,,112.0,,
Condo - NEWTON ROAD,,165.0,,
Condo - NORMANTON PARK,,147.0,,
Condo - NORTHUMBERLAND ROAD,,176.0,,
Condo - OCEAN DRIVE,,123.0,,
Condo - PASIR PANJANG ROAD,,95.0,,
Condo - PASIR RIS DRIVE 8,,124.0,,
Condo - PASIR RIS GROVE,,47.0,,
Condo - PASIR RIS LINK,,38.0,,
Condo - PEARL BANK,,190.0,,
Condo - PETIR ROAD,,25.0,,
Condo - PHENG GECK AVENUE,,116.0,,
Condo - PRINCE CHARLES CRESCENT,,155.0,,
Condo - PUNGGOL CENTRAL,,100.0,,
Condo - PUNGGOL WALK,,59.0,,
Condo - RIFLE RANGE ROAD,,168.0,,
Condo - RIVER VALLEY CLOSE,,203.0,,
Condo - RIVER VALLEY ROAD,,171.0,,
Condo - ROSEWOOD DRIVE,,15.0,,
Condo - SELETAR ROAD,,52.0,,
Condo - SENGKANG SQUARE,,81.0,,
Condo - SERANGOON AVENUE 3,,96.0,,
Condo - SERANGOON NORTH AVENUE 1,,119.0,,
Condo - SHENTON WAY,,154.0,,
Condo - SHUNFU ROAD,,145.0,,
Condo - SIGLAP ROAD,,90.0,,
Condo - SILAT AVENUE,,178.0,,
Condo - SIMEI RISE,,9.0,,
Condo - SIMEI STREET 1,,4.0,,
Condo - SIMEI STREET 3,,29.0,,
Condo - SIMEI STREET 4,,35.0,,
Condo - SIMS AVENUE,,160.0,,
Condo - SIMS DRIVE,,132.0,,
Condo - SIN MING WALK,,97.0,,
Condo - SLIM BARRACKS RISE,,162.0,,
Condo - SOUTH BUONA VISTA ROAD,,152.0,,
Condo - SPOTTISWOODE PARK ROAD,,167.0,,
Condo - ST. THOMAS WALK,,189.0,,
Condo - STIRLING ROAD,,166.0,,
Condo - TAMPINES AVENUE 1,,32.0,,
Condo - TAMPINES LANE,,101.0,,
Condo - TAMPINES STREET 86,,77.0,,
Condo - TAN QUEE LAN STREET,,196.0,,
Condo - TANAH MERAH KECHIL LINK,,163.0,,
Condo - TANJONG RHU ROAD,,117.0,,
Condo - THOMSON ROAD,,146.0,,
Condo - TOH TUCK ROAD,,159.0,,
Condo - UPPER CHANGI ROAD NORTH,,121.0,,
Condo - UPPER EAST COAST ROAD,,104.0,,
Condo - UPPER PAYA LEBAR ROAD,,122.0,,
Condo - UPPER SERANGOON CRESCENT,,42.0,,
Condo - UPPER SERANGOON ROAD,,108.0,,
Condo - UPPER SERANGOON VIEW,,62.0,,
Condo - WEST COAST CRESCENT,,79.0,,
Condo - WEST COAST VALE,,114.0,,
Condo - WHAMPOA EAST,,115.0,,
Condo - YIO CHU KANG ROAD,,37.0,,
Condo - YISHUN CLOSE,,53.0,,
EC - ANCHORVALE CRESCENT,,75.0,,
EC - BUKIT BATOK WEST AVENUE 5,,113.0,,
EC - BUKIT BATOK WEST AVENUE 8,,110.0,,
EC - CANBERRA CRESCENT,,55.0,,
EC - CANBERRA DRIVE,,86.0,,
EC - CHOA CHU KANG AVENUE 3,,93.0,,
EC - CHOA CHU KANG AVENUE 5,,102.0,,
EC - CHOA CHU KANG GROVE,,98.0,,
EC - CHOA CHU KANG NORTH 6,,10.0,,
EC - CHOA CHU KANG STREET 64,,11.0,,
EC - COMPASSVALE BOW,,120.0,,
EC - EDGEDALE PLAINS,,74.0,,
EC - EDGEFIELD PLAINS,,36.0,,
EC - FERNVALE CLOSE,,63.0,,
EC - FERNVALE LANE,,65.0,,
EC - HOUGANG AVENUE 7,,23.0,,
EC - PASIR RIS LINK,,30.0,,
EC - PASIR RIS RISE,,45.0,,
EC - PASIR RIS STREET 72,,21.0,,
EC - PLANTATION CLOSE,,138.0,,
EC - PUNGGOL DRIVE,,69.0,,
EC - PUNGGOL FIELD WALK,,40.0,,
EC - PUNGGOL WALK,,54.0,,
EC - RIVERVALE LINK,,22.0,,
EC - SEGAR ROAD,,58.0,,
EC - SEMBAWANG CRESCENT,,82.0,,
EC - SENGKANG EAST AVENUE,,67.0,,
EC - SIMEI STREET 4,,13.0,,
EC - SUMANG WALK,,48.0,,
EC - TAMPINES AVENUE 8,,56.0,,
EC - TAMPINES CENTRAL 7,,83.0,,
EC - TAMPINES STREET 62,,139.0,,
EC - TAMPINES STREET 86,,57.0,,
EC - TAO CHING ROAD,,61.0,,
EC - TENGAH GARDEN WALK,,89.0,,
EC - UPPER SERANGOON VIEW,,41.0,,
EC - WESTWOOD AVENUE,,43.0,,
EC - WOODLANDS AVENUE 5,,51.0,,
EC - WOODLANDS AVENUE 6,,33.0,,
EC - WOODLANDS CRESCENT,,7.0,,
EC - WOODLANDS DRIVE 16,,20.0,,
EC - WOODLANDS DRIVE 72,,5.0,,
EC - WOODLANDS VIEW,,78.0,,
EC - YIO CHU KANG ROAD,,150.0,,
EC - YISHUN AVENUE 11,,31.0,,
EC - YISHUN CLOSE,,85.0,,
EC - YISHUN STREET 51,,71.0,,
